Fecha de Scraping,Título,Descripción
2024-06-23 16:06:43,"Casa en Arriendo, Santa Cecilia 5, Chía",60 | 2 | 2
2024-06-23 16:06:43,"Casa en Arriendo, Guaymaral, Bogotá D.C.",190 | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, El Porvenir, Barranquilla",100 | 4 | 3
2024-06-23 16:06:43,"Casa en Arriendo, PROVENZA, Bucaramanga",$6.300.000 | 295 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, La Cumbre, Barranquilla",$6.300.000 | 295 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA PAULA MOLINOS NORTE, Bog…",
2024-06-23 16:06:43,"Casa en Arriendo, ALTOS DEL POBLADO, Medellín",$16.500.000 | 330 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, Avenida Centenario, Armenia",$16.500.000 | 330 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, PONTEVEDRA, Bogotá D.C.",
2024-06-23 16:06:43,"Casa en Arriendo, SANTA BARBARA, Bogotá D.C.",$6.400.000 | 293 m² | 4 | 4
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",$6.400.000 | 293 m² | 4 | 4
2024-06-23 16:06:43,"Casa en Arriendo, San Lucas   el Poblado, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, San Lucas, Envigado",$1.150.000 | 110 m² | 3 | 2
2024-06-23 16:06:43,"Casa en Arriendo, BARRIO CRISTOBAL, Medellín",$1.150.000 | 110 m² | 3 | 2
2024-06-23 16:06:43,"Casa en Arriendo, LA HACIENDA SUR, Cali",
2024-06-23 16:06:43,"Casa en Arriendo, EL ESTADIO, Medellín",$3.800.000 | 286 m² | 3 | 2
2024-06-23 16:06:43,"Casa en Arriendo, LA COLA DEL ZORRO, Medellín",$3.800.000 | 286 m² | 3 | 2
2024-06-23 16:06:43,"Casa en Arriendo, BELLA SUIZA ALTA, Bogotá D.C.",
2024-06-23 16:06:43,"Casa en Arriendo, QUINTA CAMACHO, Bogotá D.C.",$7.200.000 | 132 m² | 3 | 3
2024-06-23 16:06:43,"Casa en Arriendo, RIONEGRO, Rionegro",$7.200.000 | 132 m² | 3 | 3
2024-06-23 16:06:43,"Casa en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Casa en Arriendo, Cajicá",$9.500.000 | 346 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",$9.500.000 | 346 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, Canelón Cajicá, Cajicá",
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",$3.000.000 | 83.03 m² | 2 | 2
2024-06-23 16:06:43,"Casa en Arriendo, EL POBLADO EL TESORO, Medellín",$3.000.000 | 83.03 m² | 2 | 2
2024-06-23 16:06:43,"Casa en Arriendo, Chía",
2024-06-23 16:06:43,"Casa en Arriendo, Oikos Savanna, Cajicá",$6.000.000 | 240 m² | 5 | 3
2024-06-23 16:06:43,"Casa en Arriendo, Envigado  Antioquia, Envigado",$6.000.000 | 240 m² | 5 | 3
2024-06-23 16:06:43,"Casa en Arriendo, Benedictinos, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, HACIENDA SAN SIMON, Bogotá D.C.",$17.000.000 | 540 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, HACIENDA SAN SIMON, Bogotá D.C.",$17.000.000 | 540 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, Santa Rita, Cali",
2024-06-23 16:06:43,"Casa en Arriendo, SANTA ISABEL, Cali",$18.300.000 | 380 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, Rural Código AR 020, Silvania",$18.300.000 | 380 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, SAN LUCAS, Medellín",
2024-06-23 16:06:43,"Casa en Arriendo, LA COLA DEL ZORRO, Medellín",$6.800.000 | 158 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, VIZCAYA, Medellín",$6.800.000 | 158 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, SAN LUCAS, Medellín",
2024-06-23 16:06:43,"Casa en Arriendo, LA COLA DEL ZORRO, Medellín",$9.500.000 | 280 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, EL POBLADO, Medellín",$9.500.000 | 280 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",$3.650.000 | 136 m² | 5 | 2
2024-06-23 16:06:43,"Casa en Arriendo, EL POBLADO, Medellín",$3.650.000 | 136 m² | 5 | 2
2024-06-23 16:06:43,"Casa en Arriendo, EL RETIRO, Retiro",
2024-06-23 16:06:43,"Casa en Arriendo, RETIRO, Retiro",$3.500.000 | 250 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, RETIRO, Retiro",$3.500.000 | 250 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, El Salitre   La calera, La Calera",
